name,price_with_discount,price_with_out_discount,articul,manufacturer,is_available,link
"Смеситель для раковины Kerama Marazzi Linea/Линеа c внутр.частью, черный мат, 71028KM.01.093",31531,31531,71028KM.01.093,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-linea-linea-c-vnutr-chastyu-chernyy-mat-71028km-01-093/
"Смеситель для раковины Kerama Marazzi Элеганс без донного клапана, хром, 53401KM2.992CR",14990,14990,53401KM2.992CR,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-elegans-bez-donnogo-klapana-khrom-53401km2-992cr/
"Душевая колонна Kerama Marazzi Fonte/Фонте на 2 потока без смесителя, хром, FO.101.KM.CR",19506,19506,FO.101.KM.CR,Kerama Marazzi,True,https://magbo.ru/catalog/detail/dushevaya-kolonna-kerama-marazzi-fonte-fonte-na-2-potoka-bez-smesitelya-khrom-fo-101-km-cr/
"Душевая колонна Kerama Marazzi Fonte/Фонте на 2 потока без смесителя черный мат, FO.101.KM.BLK.M",21701,21701,FO.101.KM.BLK.M,Kerama Marazzi,True,https://magbo.ru/catalog/detail/dushevaya-kolonna-kerama-marazzi-fonte-fonte-na-2-potoka-bez-smesitelya-chernyy-mat-fo-101-km-blk-m/
"Душевая колонна Kerama Marazzi Fonte/Фонте на 2 потока без смесителя черный мат, FO.102.KM.BLK.M",26033,26033,FO.102.KM.BLK.M,Kerama Marazzi,True,https://magbo.ru/catalog/detail/dushevaya-kolonna-kerama-marazzi-fonte-fonte-na-2-potoka-bez-smesitelya-chernyy-mat-fo-102-km-blk-m/
"Смеситель для раковины Kerama Marazzi Элеганс без донного клапана, золото, 53417KM873PJ",28990,28990,53417KM873PJ,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-elegans-bez-donnogo-klapana-zoloto-53417km873pj/
"Смеситель для раковины Kerama Marazzi Элеганс без донного клапана, золото, 53415KM946PJ",24990,24990,53415KM946PJ,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-elegans-bez-donnogo-klapana-zoloto-53415km946pj/
"Смеситель для душа Kerama Marazzi Элеганс, брашированное золото, 53404KM946PJ",21990,21990,53404KM946PJ,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-dusha-kerama-marazzi-elegans-brashirovannoe-zoloto-53404km946pj/
"Смеситель для ванны Kerama Marazzi Элеганс, брашированное золото, 53403KM946PJ",29990,29990,53403KM946PJ,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-vanny-kerama-marazzi-elegans-brashirovannoe-zoloto-53403km946pj/
"Смеситель для раковины Kerama Marazzi Элеганс без донного клапана, золото, 53401KM2.992PJ",17990,17990,53401KM2.992PJ,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-elegans-bez-donnogo-klapana-zoloto-53401km2-992pj/
"Смеситель для раковины Kerama Marazzi Элеганс без донного клапана, хром, 53417KM873CR",23990,23990,53417KM873CR,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-elegans-bez-donnogo-klapana-khrom-53417km873cr/
"Смеситель для раковины Kerama Marazzi Элеганс высокий, без донного клапана, хром, 53415KM946CR",21990,21990,53415KM946CR,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-elegans-vysokiy-bez-donnogo-klapana-khrom-53415km946cr/
"Смеситель для душа Kerama Marazzi Элеганс, хром, 53404KM946CR",17990,17990,53404KM946CR,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-dusha-kerama-marazzi-elegans-khrom-53404km946cr/
"Смеситель для ванны Kerama Marazzi Элеганс, хром, 53403KM946CR",24990,24990,53403KM946CR,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-dlya-vanny-kerama-marazzi-elegans-khrom-53403km946cr/
"Смеситель с гигиеническим душем Kerama Marazzi Фонте, черный матовый, FO.403.KM.BLK.M",16990,16990,FO.403.KM.BLK.M,Kerama Marazzi,True,https://magbo.ru/catalog/detail/smesitel-s-gigienicheskim-dushem-kerama-marazzi-fonte-chernyy-matovyy-fo-403-km-blk-m/
